Customer_ID,Name,Age,Annual_Income,Education_Level,Occupation,City,Customer_Reviews,Purchase_Frequency,Product_Category,Target_Variable
CUST0083,Customer_83,25.0,35739.43,Bachelor,Doctor,Phoenix,Customer service was very helpful! @#,5,Books,High
CUST0084,Customer_84,,33078.69,Bachelor,Doctor,Phoenix,,24,Home Appliances,Low
CUST0085,Customer_85,39.0,52590.26,PhD,Lawyer,New York,Terrible experience. Never shopping here again! !,14,,Medium
CUST0086,Customer_86,42.0,68644.42,PhD,Artist,Chicago,"The packaging was damaged, but the product is fine. *",23,Toys,Low
CUST0087,Customer_87,26.0,74737.28,High School,Artist,Chicago,Not what I expected... could be better. %,6,Toys,High
CUST0088,Customer_88,58.0,50730.3,Bachelor,Scientist,Chicago,"It's okay, not the best, but does the job. ~",9,Toys,High
CUST0089,Customer_89,37.0,113735.07,Master,Teacher,Houston,"Decent quality, but shipping took too long. %%",9,Electronics,Low
CUST0090,Customer_90,51.0,112195.96,High School,Scientist,Phoenix,Love it! Perfect for my needs. $,15,Books,Low
CUST0091,Customer_91,51.0,25597.19,PhD,Scientist,Houston,Customer service was very helpful! *~~,2,Toys,Medium
CUST0092,Customer_92,27.0,91822.62,High School,Lawyer,Houston,Great product! Would definitely buy again. @#,19,Home Appliances,High
CUST0093,Customer_93,35.0,39932.13,Bachelor,Lawyer,Los Angeles,Not what I expected... could be better. #,9,,High
CUST0094,Customer_94,,39290.44,PhD,Engineer,Houston,Not what I expected... could be better. ~@^,11,Home Appliances,Low
CUST0095,Customer_95,,80693.16,Bachelor,Lawyer,Phoenix,Worst purchase I've made. Very disappointed! $,13,Home Appliances,High
CUST0096,Customer_96,33.0,85789.3,PhD,Engineer,Phoenix,Great product! Would definitely buy again. &$,13,Clothing,Low
CUST0097,Customer_97,18.0,64245.12,Bachelor,Engineer,New York,Not what I expected... could be better. $#,2,Toys,High
CUST0098,Customer_98,60.0,48980.93,Master,Artist,Phoenix,Terrible experience. Never shopping here again! #,3,Electronics,Medium
CUST0099,Customer_99,62.0,38809.02,PhD,Lawyer,Houston,"The packaging was damaged, but the product is fine. $%*",10,Electronics,High
CUST0100,Customer_100,37.0,52845.33,High School,Lawyer,New York,"Decent quality, but shipping took too long. *#",28,Toys,Low
CUST0101,Customer_101,40.0,117007.32,High School,Lawyer,New York,Terrible experience. Never shopping here again! %%,17,Toys,High
CUST0102,Customer_102,41.0,69143.9,PhD,,Chicago,"The packaging was damaged, but the product is fine. ##@",6,Books,High
CUST0103,Customer_103,24.0,95372.64,High School,Lawyer,Phoenix,Worst purchase I've made. Very disappointed! @!,21,Books,Low
CUST0104,Customer_104,24.0,87015.82,High School,Engineer,New York,Great product! Would definitely buy again. *%&,9,Toys,Medium
CUST0105,Customer_105,64.0,34816.34,PhD,,New York,Love it! Perfect for my needs. %&@,15,Home Appliances,High
CUST0106,Customer_106,28.0,20991.59,PhD,Doctor,Phoenix,Not what I expected... could be better. ^#*,26,Electronics,Low
CUST0107,Customer_107,21.0,32025.85,,Scientist,New York,Great product! Would definitely buy again. ^,20,Clothing,Medium
CUST0108,Customer_108,29.0,42620.12,Master,Doctor,Chicago,Love it! Perfect for my needs. @*@,30,Electronics,Low
CUST0109,Customer_109,62.0,77424.52,Bachelor,Engineer,Chicago,"Decent quality, but shipping took too long. *^%",12,Clothing,Medium
CUST0110,Customer_110,22.0,51258.32,PhD,Teacher,Houston,"It's okay, not the best, but does the job. &",5,Electronics,High
CUST0111,Customer_111,49.0,43651.84,PhD,Doctor,New York,Not what I expected... could be better. &,29,Home Appliances,Low
CUST0112,Customer_112,47.0,20308.88,High School,Teacher,New York,"It's okay, not the best, but does the job. $$",15,Electronics,Low
CUST0113,Customer_113,51.0,54225.84,Bachelor,Artist,Houston,Terrible experience. Never shopping here again! &,28,,Medium
CUST0114,Customer_114,41.0,73683.52,Master,Scientist,Los Angeles,Worst purchase I've made. Very disappointed! %%,24,Electronics,Low
CUST0115,Customer_115,27.0,33369.92,High School,Lawyer,New York,"Decent quality, but shipping took too long. @",22,Toys,Medium
CUST0116,Customer_116,36.0,72794.47,Bachelor,Doctor,Los Angeles,"The packaging was damaged, but the product is fine. @~",2,Books,High
CUST0117,Customer_117,37.0,86377.22,Bachelor,Engineer,Phoenix,,6,Clothing,High
CUST0118,Customer_118,69.0,64838.45,PhD,Lawyer,Chicago,"It's okay, not the best, but does the job. !!",28,Home Appliances,High
CUST0119,Customer_119,66.0,46231.06,,Lawyer,Houston,Customer service was very helpful! %#^,8,Clothing,Medium
CUST0120,Customer_120,28.0,72570.13,PhD,Teacher,Los Angeles,Love it! Perfect for my needs. $,13,,Low
CUST0121,Customer_121,58.0,73881.89,Master,Engineer,Los Angeles,Love it! Perfect for my needs. %*$,16,Electronics,High
CUST0122,Customer_122,,80524.19,High School,,Los Angeles,Customer service was very helpful! !$~,10,Electronics,Low
CUST0123,Customer_123,28.0,83757.89,PhD,Teacher,Los Angeles,"Decent quality, but shipping took too long. ~&&",22,Clothing,Low
CUST0124,Customer_124,24.0,53064.03,High School,Scientist,Houston,,19,Electronics,Medium
CUST0125,Customer_125,29.0,70606.36,High School,Lawyer,Houston,"It's okay, not the best, but does the job. !!",8,Home Appliances,High
CUST0126,Customer_126,58.0,51805.74,Master,Doctor,Phoenix,Amazing! Highly recommended. ~,22,Clothing,Medium
CUST0127,Customer_127,60.0,43770.77,PhD,Artist,Phoenix,Not what I expected... could be better. %$~,23,Books,Medium
CUST0128,Customer_128,40.0,81969.73,Master,Lawyer,New York,Not what I expected... could be better. @,1,Books,High
CUST0129,Customer_129,46.0,88470.9,Master,Scientist,Chicago,Not what I expected... could be better. @^,30,Electronics,Medium
CUST0130,Customer_130,42.0,62555.95,Master,Teacher,New York,"It's okay, not the best, but does the job. %*#",8,Clothing,High
CUST0131,Customer_131,56.0,78471.92,Master,Artist,Los Angeles,"Decent quality, but shipping took too long. ^*",21,Electronics,Low
CUST0132,Customer_132,20.0,47086.97,Bachelor,Engineer,Los Angeles,"Decent quality, but shipping took too long. #^",20,Books,Medium
CUST0133,Customer_133,18.0,40717.73,High School,Scientist,Chicago,Amazing! Highly recommended. %^,30,Books,Medium
CUST0134,Customer_134,27.0,110557.75,Master,Doctor,Chicago,Amazing! Highly recommended. $!^,15,Toys,High
CUST0135,Customer_135,34.0,70744.2,PhD,Doctor,Phoenix,Love it! Perfect for my needs. %~,29,Home Appliances,Medium
CUST0136,Customer_136,48.0,30285.82,Master,Teacher,Chicago,Customer service was very helpful! %,28,Toys,Medium
CUST0137,Customer_137,24.0,46800.26,Bachelor,Doctor,New York,,20,Home Appliances,High
CUST0138,Customer_138,29.0,79520.39,High School,Scientist,New York,"The packaging was damaged, but the product is fine. !",19,Toys,Low
CUST0139,Customer_139,48.0,88701.66,Master,Teacher,Houston,"Decent quality, but shipping took too long. %",20,Home Appliances,High
CUST0140,Customer_140,55.0,114151.89,Bachelor,Artist,Houston,,2,Toys,Low
CUST0141,Customer_141,57.0,,Bachelor,Artist,Houston,"Decent quality, but shipping took too long. &",7,Books,High
CUST0142,Customer_142,44.0,67332.4,High School,Engineer,Los Angeles,,16,Home Appliances,Low
CUST0143,Customer_143,25.0,26349.49,Master,Teacher,New York,Amazing! Highly recommended. &!@,14,Home Appliances,Medium
CUST0144,Customer_144,22.0,80763.49,PhD,Lawyer,Chicago,,27,Toys,High
CUST0145,Customer_145,32.0,29980.78,Bachelor,Lawyer,Houston,Love it! Perfect for my needs. #,9,,Medium
CUST0146,Customer_146,28.0,98115.69,Bachelor,Artist,Phoenix,Not what I expected... could be better. &!,29,Electronics,Medium
CUST0147,Customer_147,67.0,45670.8,Bachelor,Artist,New York,Terrible experience. Never shopping here again! &@,27,Books,High
CUST0148,Customer_148,65.0,33093.53,PhD,Artist,Houston,"Decent quality, but shipping took too long. &#",6,Toys,Medium
CUST0149,Customer_149,30.0,22585.84,,Teacher,Chicago,Not what I expected... could be better. *$,3,Toys,Medium
CUST0150,Customer_150,30.0,,Master,Scientist,Phoenix,Customer service was very helpful! $,29,Books,Low
CUST0151,Customer_151,31.0,21449.96,PhD,Doctor,New York,Customer service was very helpful! $@&,12,Home Appliances,Medium
CUST0152,Customer_152,65.0,73426.02,Bachelor,Scientist,Los Angeles,Not what I expected... could be better. ^@%,24,Toys,Low
CUST0153,Customer_153,49.0,52759.76,Master,Teacher,Houston,"It's okay, not the best, but does the job. @%^",13,Home Appliances,Low
CUST0154,Customer_154,53.0,109481.41,PhD,Lawyer,New York,Not what I expected... could be better. $~!,27,Electronics,Medium
CUST0155,Customer_155,49.0,87976.04,Bachelor,Lawyer,Los Angeles,"It's okay, not the best, but does the job. $@",5,Clothing,Medium
CUST0156,Customer_156,21.0,68677.05,Bachelor,,Houston,"The packaging was damaged, but the product is fine. *^",1,Toys,Medium
CUST0157,Customer_157,41.0,53239.57,High School,Teacher,Houston,Terrible experience. Never shopping here again! $#^,25,Clothing,Low
CUST0158,Customer_158,46.0,47302.68,Master,Teacher,New York,Not what I expected... could be better. !&*,1,Clothing,Low
CUST0159,Customer_159,56.0,91727.5,High School,Engineer,Los Angeles,Not what I expected... could be better. @,7,Toys,High
CUST0160,Customer_160,20.0,34322.14,Master,Artist,Chicago,Customer service was very helpful! %,17,Home Appliances,Medium
CUST0161,Customer_161,40.0,74085.42,PhD,Teacher,Phoenix,Terrible experience. Never shopping here again! !@,28,Home Appliances,Medium
CUST0162,Customer_162,,83178.9,PhD,Engineer,New York,Love it! Perfect for my needs. %$%,22,Clothing,High
CUST0163,Customer_163,22.0,29330.63,Master,Engineer,Phoenix,Worst purchase I've made. Very disappointed! %#*,17,Home Appliances,High
CUST0164,Customer_164,62.0,71396.14,Master,Engineer,Chicago,Terrible experience. Never shopping here again! $,19,Clothing,Medium
CUST0165,Customer_165,68.0,30962.71,Master,Teacher,Chicago,Great product! Would definitely buy again. @^&,18,Home Appliances,Medium
CUST0166,Customer_166,28.0,56020.16,High School,Doctor,Chicago,"Decent quality, but shipping took too long. ^*$",13,Electronics,Medium
CUST0167,Customer_167,61.0,98834.85,Bachelor,Doctor,Chicago,Amazing! Highly recommended. ~,3,Electronics,High
CUST0168,Customer_168,,44768.52,High School,Artist,New York,Not what I expected... could be better. %,3,Books,Low
CUST0169,Customer_169,62.0,58644.32,Master,Doctor,Houston,,7,Clothing,Medium
CUST0170,Customer_170,63.0,26930.57,Master,Lawyer,New York,Amazing! Highly recommended. ~$%,21,Home Appliances,Low
CUST0171,Customer_171,18.0,114951.46,High School,Teacher,New York,Worst purchase I've made. Very disappointed! %~*,19,Toys,Low
CUST0172,Customer_172,37.0,118672.93,Master,Engineer,Los Angeles,"It's okay, not the best, but does the job. &#",17,Electronics,High
CUST0173,Customer_173,65.0,59742.28,Master,Lawyer,Los Angeles,Customer service was very helpful! %,25,Home Appliances,Medium
CUST0174,Customer_174,31.0,73063.94,Master,,Los Angeles,Amazing! Highly recommended. ~$@,11,Books,High
CUST0175,Customer_175,36.0,33496.65,,Teacher,Los Angeles,,4,Clothing,High
CUST0176,Customer_176,39.0,83787.96,Master,,Chicago,Customer service was very helpful! !,15,Toys,Medium
CUST0177,Customer_177,19.0,22234.26,PhD,Teacher,Chicago,,19,Home Appliances,Low
CUST0178,Customer_178,59.0,64773.15,PhD,Engineer,Houston,"Decent quality, but shipping took too long. ~#&",17,Books,Medium
CUST0179,Customer_179,31.0,50508.13,Master,Teacher,Houston,Customer service was very helpful! $%,23,Home Appliances,Low
CUST0180,Customer_180,70.0,96955.31,PhD,Doctor,Houston,Love it! Perfect for my needs. *#@,10,Clothing,Medium
CUST0181,Customer_181,34.0,110319.92,Master,Artist,New York,Love it! Perfect for my needs. ^,25,Toys,High
CUST0182,Customer_182,21.0,105991.03,,Engineer,Houston,"Decent quality, but shipping took too long. !*",28,Books,Low
CUST0183,Customer_183,,60539.01,Master,Teacher,Houston,"Decent quality, but shipping took too long. ^@",19,,High
CUST0184,Customer_184,65.0,90934.59,Master,Teacher,Phoenix,Not what I expected... could be better. &~*,10,Electronics,Low
CUST0185,Customer_185,38.0,,PhD,Doctor,Phoenix,"It's okay, not the best, but does the job. %#$",22,Clothing,Medium
CUST0186,Customer_186,42.0,32873.08,Bachelor,Artist,Phoenix,"The packaging was damaged, but the product is fine. &",19,Electronics,Medium
CUST0187,Customer_187,26.0,23831.56,High School,Artist,Chicago,Love it! Perfect for my needs. !,6,Books,High
CUST0188,Customer_188,39.0,108484.82,,Lawyer,Chicago,Great product! Would definitely buy again. %##,28,Clothing,High
CUST0189,Customer_189,36.0,89527.74,Bachelor,Teacher,Houston,Worst purchase I've made. Very disappointed! %@^,5,Home Appliances,High
CUST0190,Customer_190,44.0,31623.31,Master,Engineer,Los Angeles,Great product! Would definitely buy again. ~%,17,Clothing,Low
CUST0191,Customer_191,39.0,92685.1,High School,Doctor,Los Angeles,Terrible experience. Never shopping here again! !*^,17,Books,Low
CUST0192,Customer_192,31.0,98697.54,Bachelor,Doctor,New York,Customer service was very helpful! @!,24,Electronics,Low
CUST0193,Customer_193,33.0,82169.21,PhD,,New York,Worst purchase I've made. Very disappointed! *,18,Clothing,Medium
CUST0194,Customer_194,70.0,103601.92,High School,Engineer,Houston,Amazing! Highly recommended. #,24,Toys,Low
CUST0195,Customer_195,51.0,115054.63,Master,Lawyer,Phoenix,Not what I expected... could be better. %,27,Home Appliances,Low
CUST0196,Customer_196,46.0,62865.14,High School,Doctor,Houston,"It's okay, not the best, but does the job. %@!",16,Toys,Medium
CUST0197,Customer_197,61.0,36786.05,High School,Lawyer,Houston,Amazing! Highly recommended. ~!$,16,Toys,High
CUST0198,Customer_198,46.0,107919.58,Master,Artist,Houston,Customer service was very helpful! $$,23,Clothing,Low
CUST0199,Customer_199,20.0,77993.63,High School,Doctor,Los Angeles,"Decent quality, but shipping took too long. ^",6,Toys,Low
CUST0200,Customer_200,34.0,32422.08,,Teacher,New York,Not what I expected... could be better. $&%,29,Toys,Medium
CUST0201,Customer_201,33.0,82317.28,Bachelor,Lawyer,Phoenix,Amazing! Highly recommended. %,29,Books,High
CUST0202,Customer_202,62.0,48471.75,High School,Doctor,New York,Great product! Would definitely buy again. ^,18,Home Appliances,Low
CUST0203,Customer_203,55.0,,High School,Lawyer,New York,Love it! Perfect for my needs. *%$,25,Clothing,Low
CUST0204,Customer_204,42.0,97723.49,Master,Lawyer,Chicago,Terrible experience. Never shopping here again! *$^,5,Books,Medium
CUST0205,Customer_205,66.0,83414.7,Master,Artist,New York,"The packaging was damaged, but the product is fine. *#",28,Home Appliances,Medium
CUST0206,Customer_206,41.0,108491.14,PhD,Teacher,Chicago,,20,Home Appliances,Low
CUST0207,Customer_207,61.0,33189.69,Master,Doctor,Houston,"Decent quality, but shipping took too long. %$",5,Home Appliances,Medium
CUST0208,Customer_208,,82071.48,PhD,Doctor,Phoenix,Customer service was very helpful! ~$$,9,Home Appliances,Low
CUST0209,Customer_209,29.0,113765.36,PhD,Scientist,Los Angeles,"It's okay, not the best, but does the job. ~$#",28,Toys,Low
CUST0210,Customer_210,24.0,34956.26,High School,Engineer,Houston,"The packaging was damaged, but the product is fine. @#",2,Clothing,High
CUST0211,Customer_211,47.0,93791.69,Master,Doctor,Phoenix,Love it! Perfect for my needs. &,26,Books,Medium
CUST0212,Customer_212,34.0,33066.59,Bachelor,Doctor,Chicago,Love it! Perfect for my needs. %^,17,Books,Low
CUST0213,Customer_213,66.0,86360.94,Master,Scientist,Phoenix,Not what I expected... could be better. $,13,,High
CUST0214,Customer_214,31.0,107313.75,Master,Artist,Phoenix,Amazing! Highly recommended. $*,5,Toys,Low
CUST0215,Customer_215,47.0,107185.15,Bachelor,,Houston,Terrible experience. Never shopping here again! *^,24,Home Appliances,Medium
CUST0216,Customer_216,62.0,71999.52,High School,Lawyer,Houston,Terrible experience. Never shopping here again! !@,9,Electronics,Low
CUST0217,Customer_217,55.0,,Bachelor,Teacher,New York,Love it! Perfect for my needs. &&$,25,Electronics,High
CUST0218,Customer_218,48.0,,Master,Doctor,Los Angeles,"Decent quality, but shipping took too long. ~#",24,Books,Medium
CUST0219,Customer_219,48.0,66934.7,Master,Lawyer,New York,Great product! Would definitely buy again. @$,8,Home Appliances,Low
CUST0220,Customer_220,31.0,111862.89,Master,Scientist,Houston,Love it! Perfect for my needs. *#,17,Home Appliances,Medium
CUST0221,Customer_221,51.0,47001.56,PhD,Artist,Phoenix,Great product! Would definitely buy again. &%#,19,Clothing,High
CUST0222,Customer_222,62.0,104439.43,PhD,Artist,Phoenix,"Decent quality, but shipping took too long. ~&#",1,Electronics,High
CUST0223,Customer_223,26.0,42337.57,High School,Doctor,Houston,"The packaging was damaged, but the product is fine. ^%^",4,Toys,Medium
CUST0224,Customer_224,53.0,72752.33,Bachelor,Lawyer,Los Angeles,Great product! Would definitely buy again. ~,15,Clothing,High
CUST0225,Customer_225,49.0,68919.34,PhD,Teacher,Phoenix,"It's okay, not the best, but does the job. &@",29,Books,High
CUST0226,Customer_226,,74895.97,Master,Scientist,New York,Great product! Would definitely buy again. ^^,27,Toys,High
CUST0227,Customer_227,68.0,99202.07,Master,Artist,Phoenix,"The packaging was damaged, but the product is fine. &~",28,Home Appliances,Low
CUST0228,Customer_228,,86027.79,Master,Scientist,Houston,Worst purchase I've made. Very disappointed! $*,26,Toys,Medium
CUST0229,Customer_229,54.0,41878.45,Bachelor,Engineer,Los Angeles,Not what I expected... could be better. ~~,22,Home Appliances,High
CUST0230,Customer_230,36.0,112257.34,Bachelor,Engineer,Los Angeles,Customer service was very helpful! *&,22,Books,Medium
